date,time,T,Po,U,DD,Ff
736695.0,0.0,0.9,745.9,86.0,16.0,0.0
736695.0,1.0,1.1,746.4,80.0,16.0,0.0
736695.0,2.0,0.2,746.5,90.0,16.0,0.0
736695.0,3.0,1.3,746.1,83.0,11.0,1.0
736695.0,4.0,1.8,746.3,82.0,11.0,1.0
736695.0,5.0,0.8,746.2,75.0,13.0,1.0
736695.0,6.0,0.3,746.2,74.0,11.0,2.0
736695.0,7.0,0.9,745.3,76.0,15.0,1.0
736696.0,0.0,1.2,744.9,82.0,15.0,1.0
736696.0,1.0,1.8,744.9,81.0,11.0,1.0
736696.0,2.0,1.8,744.6,83.0,15.0,1.0
736696.0,3.0,1.9,744.7,83.0,11.0,1.0
736696.0,4.0,2.3,745.4,84.0,15.0,2.0
736696.0,5.0,2.2,746.6,87.0,13.0,1.0
736696.0,6.0,2.2,747.8,87.0,15.0,1.0
736696.0,7.0,2.1,748.5,88.0,15.0,1.0
736697.0,0.0,1.7,748.9,92.0,16.0,0.0
736697.0,1.0,1.9,749.2,90.0,11.0,1.0
736697.0,2.0,2.0,748.9,89.0,15.0,1.0
736697.0,3.0,1.7,748.3,84.0,11.0,1.0
736697.0,4.0,2.4,748.2,89.0,14.0,2.0
736697.0,5.0,2.9,746.8,89.0,11.0,2.0
736697.0,6.0,2.9,746.3,89.0,11.0,3.0
736697.0,7.0,3.6,745.8,85.0,14.0,2.0
736698.0,0.0,4.1,745.7,80.0,11.0,2.0
736698.0,1.0,3.5,745.4,78.0,11.0,3.0
736698.0,2.0,2.5,745.3,80.0,11.0,3.0
736698.0,3.0,2.3,745.5,77.0,14.0,2.0
736698.0,4.0,1.7,746.2,82.0,14.0,3.0
736698.0,5.0,1.0,745.2,75.0,14.0,3.0
736698.0,6.0,0.8,745.2,76.0,11.0,3.0
736698.0,7.0,0.4,745.0,78.0,11.0,2.0
736699.0,0.0,-0.1,745.4,79.0,14.0,2.0
736699.0,1.0,-0.3,745.0,81.0,11.0,1.0
736699.0,2.0,-0.7,744.5,82.0,12.0,2.0
736699.0,3.0,-1.4,744.9,94.0,14.0,1.0
736699.0,4.0,-1.7,744.7,93.0,14.0,2.0
736699.0,5.0,-1.6,744.6,85.0,14.0,2.0
736699.0,6.0,-1.2,745.0,86.0,14.0,2.0
736699.0,7.0,-1.0,744.8,90.0,14.0,2.0
736700.0,0.0,-0.6,744.7,92.0,14.0,1.0
736700.0,1.0,-0.2,744.4,91.0,14.0,3.0
736700.0,2.0,0.1,743.8,90.0,14.0,2.0
736700.0,3.0,0.4,743.5,91.0,14.0,2.0
736700.0,4.0,0.9,742.9,92.0,14.0,2.0
736700.0,5.0,1.6,742.0,91.0,11.0,1.0
736700.0,6.0,1.3,742.3,94.0,15.0,1.0
736700.0,7.0,2.1,742.6,95.0,13.0,1.0
736701.0,0.0,2.7,743.0,91.0,5.0,1.0
736701.0,1.0,3.2,743.5,87.0,3.0,2.0
736701.0,2.0,2.2,743.9,89.0,5.0,1.0
736701.0,3.0,2.6,743.5,89.0,15.0,1.0
736701.0,4.0,3.2,743.2,88.0,5.0,1.0
736701.0,5.0,3.1,742.9,86.0,5.0,2.0
736701.0,6.0,-0.1,745.0,74.0,4.0,3.0
736701.0,7.0,-2.3,747.6,64.0,4.0,2.0
736702.0,0.0,-2.9,748.6,66.0,3.0,2.0
736702.0,1.0,-3.2,748.3,69.0,3.0,2.0
736702.0,2.0,-3.1,746.5,69.0,3.0,2.0
736702.0,3.0,-3.0,746.5,81.0,3.0,2.0
736702.0,4.0,-1.7,746.7,72.0,3.0,2.0
736702.0,5.0,-0.9,746.6,71.0,3.0,1.0
736702.0,6.0,-1.6,746.7,88.0,3.0,2.0
736702.0,7.0,-2.6,747.4,89.0,3.0,1.0
736703.0,0.0,-3.2,748.4,83.0,4.0,2.0
736703.0,1.0,-3.1,749.2,75.0,4.0,2.0
736703.0,2.0,-3.0,750.4,70.0,8.0,2.0
736703.0,3.0,-4.4,751.3,67.0,8.0,2.0
736703.0,4.0,-4.3,752.3,68.0,4.0,2.0
736703.0,5.0,-3.2,752.5,58.0,3.0,1.0
736703.0,6.0,-4.8,752.7,68.0,4.0,1.0
736703.0,7.0,-5.5,752.8,80.0,4.0,2.0
736704.0,0.0,-3.2,752.8,80.0,8.0,1.0
736704.0,1.0,-2.8,753.2,75.0,8.0,2.0
736704.0,2.0,-3.0,753.7,73.0,8.0,2.0
736704.0,3.0,-3.3,754.1,73.0,10.0,2.0
736704.0,4.0,-2.7,754.6,73.0,8.0,2.0
736704.0,5.0,-2.9,754.3,74.0,10.0,1.0
